Coupon	YTM	CurrentYield	RatingNum
4.9400	3.9880	4.8612	9
10.3200	6.1870	9.5326	6
4.4300	3.2050	3.8792	11
6.0900	4.2290	5.9006	8
1.9100	1.7260	1.8357	9
5.7800	2.6560	5.3563	10
6.3400	4.7080	7.2152	8
9.2300	5.6620	9.0384	6
5.0900	4.1660	5.4944	9
6.3300	5.5830	6.7838	9
4.5000	3.9130	4.3178	9
1.5900	1.5330	1.5690	11
2.3800	2.1140	2.2523	10
5.3700	3.4980	4.4716	11
6.5300	7.1090	7.9936	8
3.2400	2.7830	3.2707	9
7.9700	7.9300	11.0266	6
7.9600	6.0410	7.1461	7
4.6600	4.1920	5.4395	5
7.8300	5.0050	6.6244	8
2.2900	2.0750	2.2504	11
6.9700	6.3980	8.1673	7
8.4600	5.0050	9.1193	5
5.9200	3.9030	5.2754	10
1.8200	1.7320	1.8006	7
6.5600	4.5160	6.2578	7
6.2200	3.9690	5.4096	9
6.1300	4.7470	5.0361	8
6.8600	5.4890	7.8364	8
5.7800	4.2600	5.5195	7
8.5000	6.2990	7.3894	7
3.3100	2.8230	3.0943	10
7.9200	5.0630	7.2157	8
5.5500	3.8030	4.9933	9
5.9600	4.1340	5.6870	9
6.7100	4.5270	6.7867	7
2.4200	2.2480	2.3559	11
7.0500	6.2660	7.4132	6
5.2100	3.8690	4.9239	8
6.8600	5.0250	5.5795	8
4.8500	3.6590	4.4491	8
1.9100	1.2850	1.8443	10
4.0600	2.8970	3.4506	11
7.8400	5.0340	7.2700	7
5.4200	3.9280	4.6183	10
6.7600	3.4720	4.4186	11
3.6100	3.1610	3.4460	11
6.1500	3.8430	5.1464	9
4.9900	3.3980	4.2888	9
4.1500	2.9790	3.5804	9
4.5700	3.2210	4.0232	9
6.9500	5.1040	6.4370	7
7.0200	4.4970	5.0576	9
6.0300	4.7800	5.7097	10
5.0500	3.8550	4.4770	10
4.9100	3.2940	4.1067	9
6.3400	5.9340	7.2823	6
3.4800	3.0860	3.4054	8
4.9600	3.8480	4.2023	11
4.9600	3.5750	4.3018	10
7.8000	5.7580	7.4264	7
5.5000	5.1670	5.9796	9
6.8400	4.1060	5.6618	9
5.9600	5.0740	6.3948	6
3.4100	3.0650	3.4309	9
2.0300	1.9380	1.9970	11
7.0600	2.7570	6.4818	8
3.1000	2.8770	2.9056	10
4.4600	3.2160	3.7832	10
5.7000	3.7510	5.4808	6
7.1200	4.2540	6.0493	8
4.3900	3.5570	3.8730	11
8.1500	4.5680	6.8493	7
6.3100	5.1640	6.7857	6
4.6100	3.6070	4.5161	10
7.4100	6.7230	8.9786	6
6.5000	4.2200	5.0873	9
2.3600	2.1310	2.3341	9
7.3400	4.9230	7.6794	6
1.2900	1.2390	1.2709	11
5.9100	4.8590	5.2981	8
5.5200	4.4030	6.2190	8
3.6600	3.1810	3.6725	9
6.5500	5.6380	7.0514	9
7.1000	4.6840	7.1171	6
3.6800	3.0310	3.4632	8
4.4500	3.5560	4.3066	9
3.6700	3.4210	3.4959	11
5.4200	3.5700	4.5276	9
5.2300	4.9310	5.0861	10
8.2700	4.8850	6.1268	9
5.1000	3.8140	4.8799	10
6.5100	4.9120	4.9329	9
2.1100	1.9940	2.0418	10
5.6400	3.9100	5.0542	10
4.1100	3.2880	3.6808	10
7.3400	5.1260	8.0157	6
7.3900	4.4130	6.3889	8
7.2300	4.5080	6.3773	7
6.5000	7.4000	14.2889	4
4.1200	3.4410	4.0384	8
6.6400	6.3730	7.4240	6
2.8200	2.4390	2.7571	11
1.1200	0.9840	1.0854	11
5.5500	3.9490	5.1575	8
3.5200	2.9630	3.5204	9
6.8100	4.3830	6.0340	8
3.1000	2.7340	2.8529	9
5.5300	4.8430	5.3214	7
7.8800	4.8090	6.1481	8
6.4700	5.6250	7.0896	6
5.3400	3.9240	5.1799	9
4.5900	3.3290	3.8826	11
8.1900	7.2280	7.8501	8
6.0400	3.8020	4.7567	11
6.4600	4.1730	5.0124	9
4.4900	3.3790	3.9473	11
5.8000	4.3330	5.1837	8
5.1700	4.0770	4.8422	10
8.0200	5.3420	6.1864	11
5.5600	4.6590	5.6430	8
3.5000	2.8110	3.1949	11
2.5400	2.3300	2.4699	10
6.8600	5.6040	5.6331	9
6.8400	4.7250	6.6667	8
6.2500	5.1720	5.5052	9
3.4800	3.0600	3.2216	11
2.7900	2.3450	2.6276	9
6.6100	4.4840	5.1552	11
4.0100	3.7580	3.8362	11
5.4700	3.9440	5.3533	8
6.0500	4.6590	6.9381	6
1.5200	1.4890	1.5152	9
7.0300	4.7380	6.6679	9
6.2100	4.8940	6.5430	9
7.5600	7.5390	7.5934	7
5.9100	3.8500	5.0530	8
8.3600	5.1590	7.7300	6
2.5300	2.3460	2.4171	11
5.6900	5.1290	5.5307	7
5.6500	3.6460	4.6946	9
5.1100	3.7610	4.8890	11
6.5800	4.7300	6.7877	8
6.7700	5.5220	6.1029	8
5.3900	4.0890	4.7430	9
5.9000	3.9500	5.2194	8
1.0600	1.0120	1.0465	11
2.7300	2.3490	2.5412	9
6.5400	4.0920	5.7128	8
6.3700	4.6990	7.0582	8
1.3700	1.2950	1.3523	9
2.2800	2.0210	2.2138	10
4.7000	3.3300	4.0061	11
5.9100	4.4830	6.4895	9
6.9200	5.4510	6.7499	6
5.4100	3.6710	4.8093	10
6.9200	4.4420	6.3744	9
1.0900	1.0410	1.0774	11
5.1600	3.9970	4.0075	11
8.6000	6.1940	7.5492	8
5.0800	2.4930	4.6760	9
5.6600	4.2050	5.2681	8
5.5300	4.1350	4.8680	10
5.4500	3.7800	4.7420	9
6.0600	4.2770	6.0874	10
7.4900	5.5130	7.6687	6
1.5500	1.4420	1.4749	11
6.7300	6.2560	7.3264	6
3	2.7050	2.8441	11
5.8700	4.2070	4.7461	9
6.0500	4.1530	5.6648	8
6.9300	4.1570	5.6424	8
7.8500	4.5340	5.9682	9
7.2100	5.8300	7.5096	6
4.0100	2.9100	3.6891	10
1.4100	1.3120	1.3406	11
4.8000	3.4160	4.3096	8
7.0300	4.0470	5.5696	9
4.9300	3.5490	4.2347	11
2.2500	2.0980	2.1986	11
8.2100	4.3600	6.2362	11
4.9700	3.7060	4.0509	11
6.6300	4.9120	6.0954	8
8.8900	4.3640	6.1087	9
5.6300	3.8740	4.3435	11
5.5800	3.9110	4.0724	11
2.9500	2.7380	2.8311	9
8.5600	5.1810	7.7417	7
8.9400	7.8300	19.6960	5
6.2300	5.9440	6.4815	9
4.5500	3.1390	3.8345	11
2.6300	2.4100	2.4950	9
5.4200	3.9230	5.3106	8
1.8200	1.6880	1.7492	11
3.5000	2.8010	3.2923	8
5.9000	4.0340	5.5451	10
4.9500	3.3000	4.1065	9
7.6700	6.5330	6.9130	7
7.5900	4.7000	5.9825	9
4.6100	3.0710	4.1716	11
9.3600	6.3900	7.9898	9
6.0700	3.9810	5.3908	10
5.0900	3.4990	4.3400	11
6.4700	4.3880	5.9730	8
5.3400	4.0490	5.0906	10
4.7000	3.4590	4.1946	11
6.8700	5.1000	7.3031	7
4.1600	2.9720	3.5828	11
3.1400	2.5190	2.8532	11
5.9000	3.6090	4.5190	11
8.9500	4.9430	6.4500	10
8.3700	5.9550	8.5382	6
5.3000	4.2610	4.4752	9
6.5900	4.7720	5.4377	9
5.4500	3.7190	4.8583	10
6.5800	4.7200	7.0814	6
7.2900	4.8920	6.4462	8
9.5100	5.4750	6.6253	8
5.8900	3.8280	4.3344	10
4.9300	2.7170	4.5304	10
5.0400	4.2780	5.7214	9
3.6300	3.1000	3.7801	10
6.1000	4.0070	5.4246	8
2.4600	2.0170	2.3360	11
8.1800	6.2740	6.4931	8
6.0100	4.3430	5.7844	10
6.8500	7.9890	9.3515	6
5.2800	4.6640	5.2433	9
7.0100	5.1480	6.5052	8
3.3800	2.8070	3.2307	11
7.2300	5.1100	7.5628	6
6.0700	3.8070	5.0558	11
6.2400	4.2260	5.5496	8
8.8000	4.9950	8.0160	6
1.2600	1.1880	1.2351	11
5.0600	4.2670	5.9480	9
6.0300	4.1360	5.7516	9
7.4700	4.7440	7.1613	6
5.9900	4.8290	6.3649	8
2.9800	2.8200	3.0910	6
6.0800	4.1380	5.4383	9
11.7900	5.7100	10.7338	5
4.5100	3.6060	4.1946	11
12.9400	7.8290	15.2110	5
6.4700	4.9970	6.2313	5
1.1600	0.9230	1.1310	11
7.6000	5.8430	8.6256	6
4.6800	3.9510	4.1328	8
5.8300	4.3560	5.6214	8
6.1600	4.3450	5.7212	8
9.1900	4.4750	6.6053	8
3.1200	2.7700	2.8514	11
8.1900	4.1170	5.2265	10
2.8500	2.6800	2.8347	6
7.6900	9.7600	12.3395	6
5.0700	3.9160	4.6931	10
3.0300	2.6780	3.0755	10
3.8800	3.2550	3.5486	9
7.2600	5.3350	5.6070	9
4.2800	3.3510	3.9112	11
5.1200	4.1290	5.5592	9
5.0900	3.8150	4.9470	6
7.6800	5.0250	6.1308	9
2.2900	1.9880	2.1551	11
1.3900	1.3080	1.3494	10
5.9200	4.9120	4.9656	8
3.9300	1.8120	3.6647	8
5.2900	4.6520	4.7619	10
4.1000	2.9940	3.7118	11
4.9200	3.7980	4.1561	10
6.7400	3.9560	4.7686	9
7.1500	4.4190	5.7444	8
6.1000	4.5180	6.4496	9
4.6500	4.1850	4.5477	10
8.8600	6.6110	7.5642	8
5.1700	4.5020	5.6596	8
5.3100	3.2770	4.0662	11
3.9400	3.5970	4.0677	9
6.0100	4.3120	5.7048	7
5.1600	4.7420	5.0723	7
4.9600	4.0200	4.5371	10
6.8100	4.9890	7.0482	6
6.5800	4.2370	6.0141	7
6.0500	4.3050	5.6824	10
9.7100	5.4340	8.2624	8
7.0900	4.0620	5.4093	9
7.2600	5.5580	7.1358	7
5.6000	4.3950	5.3156	9
4.1700	3.2330	3.6675	9
7.7900	5.8310	8.3890	6
6.2800	4.1080	5.6848	8
6.3800	3.8230	5.0471	8
4.0100	3.6330	3.7212	9
5.3500	3.8330	4.6848	9
7.3500	2.8850	6.6739	8
2.8700	2.5190	2.7446	8
6.1000	6.0450	6.7011	9
4.6700	3.7420	4.4107	8
5.6800	4.0230	5.4568	10
6.4500	4.1290	5.3434	8
2.4700	2.1350	2.3065	11
7.9600	5.7650	7.3432	7
6.5600	4.4110	6.3278	7
4.0700	3.1360	3.6522	10
2.5700	2.2880	2.4032	11
4.1800	3.1440	3.8310	8
3.8700	3.0400	3.3941	10
6.7500	4.2530	5.2362	9
5.5500	4.1210	5.1346	9
6.7800	4.1400	5.6665	8
6.1700	5.6680	5.8395	8
1.1000	1.0670	1.0877	10
4.6600	3.5770	4.5190	9
7.2800	4.6290	6.8076	7
2.8300	2.4810	2.8289	9
4.6200	3.4230	4.1491	10
4.9600	4.5320	4.7392	10
6.9900	5.6360	7.1094	7
5.2700	3.9090	4.0891	11
5.3000	4.4560	4.5572	11
4.5600	3.6210	4.1331	11
5.2400	4.4700	4.6966	10
5.0900	3.4480	4.4245	11
6.0800	4.6200	6.0673	6
6.5700	5.6740	7.0562	6
5.8800	4.0200	5.5216	8
4.8100	3.5380	3.9739	11
5.1800	3.9220	4.1186	11
0.9200	0.8670	0.8942	10
6.9700	5.2790	5.4233	9
8.3200	5.3510	9.2661	6
11.3400	6.3420	13.9845	5
6.6600	3.9930	5.4639	8
5.5400	4.6390	4.7730	10
5.9900	4.4540	6.5393	9
6.7100	4.3990	5.3186	9
5.4500	5.2450	5.3296	9
4.7200	3.4550	3.8402	11
6.3300	5.4620	6.0246	9
4.2900	3.4040	4.3527	9
7.5500	5.7840	6.8618	7
5.7600	4.0100	5.4774	9
5.8600	4.7160	5.6265	9
8.6200	5.3330	9.1878	5
5.8700	4.2150	6.2255	6
3.9300	3.0520	3.6843	9
5.3700	3.8940	5.0243	9
8.4400	5.8070	8.9454	5
6.2600	5.3160	5.9018	8
7.4500	4.5380	6.2981	8
6.2700	4.7340	7.1169	8
6.0500	4.9930	7.5531	8
6.4500	6.4870	8.7707	6
6.3200	4.4160	5.6138	10
6.9200	4.1180	6.0096	10
2.1700	1.8840	2.0368	11
6.7600	3.9960	4.8090	9
5.7600	4.2460	5.1032	8
2.9800	2.2850	2.7729	10
2.3100	2.0220	2.1838	11
6.1700	4.4660	4.9081	9
4.0400	3.2630	3.8564	8
2.5100	2.1480	2.3828	8
0.8900	0.7190	0.8697	9
4.0900	3.6830	3.9821	11
5.8000	3.5990	5.1740	9
2	1.7670	1.8975	11
3.6900	3.1400	3.7862	8
7.7200	4.8650	5.2808	9
5.3400	4.0580	6.0613	6
3.0500	2.3650	2.6122	7
1.2900	1.1380	1.2535	11
4.8200	3.8190	4.2625	11
4.2200	3.5670	4.0275	9
4.5900	4.0250	4.5446	8
6.6900	5.8390	6.3927	8
7.0400	5.9480	6.5862	7
6.1200	4.6910	7.1014	6
5.0900	4.0030	5.1822	8
1.9200	1.6880	1.8038	11
3.7000	2.9590	3.5008	8
5.5500	3.9370	5.3105	10
9.6600	6.0720	11.6638	5
10.6400	6.8310	17.7097	5
3.8600	3.1270	3.4412	9
2.7300	2.2860	2.5173	9
0.5600	0.3510	0.5513	11
9.8100	9.1480	10.3372	5
7.1900	3.8980	5.1865	10
0.8000	0.7810	0.7880	11
9.9200	8.6530	9.5559	6
6.3200	4.6280	5.0532	9
4.8300	4.0290	5.5005	9
5.9600	5.2850	7.4111	6
6.6400	4.2170	5.8358	8
5.2600	3.4080	4.2337	9
7.2200	4.3020	6.1197	8
8.4400	5.4100	7.6332	7
6.5000	3.9610	5.2833	9
7.3500	4.6160	6.9320	7
5.8100	4.7540	4.8160	10
7.0300	4.9060	7.8181	5
5.3600	3.4960	4.4592	11
4.8300	4.2050	4.4065	9
2.9100	2.6710	2.7743	11
6.2400	4.6640	6.9690	6
6.1000	2.6380	5.4728	9
5.6100	3.7770	4.6614	11
1.8600	1.7030	1.8008	9
7.1100	3.8850	5.1004	8
3.8400	2.8230	3.5336	11
2.4900	2.2270	2.3611	10
2.4200	2.0950	2.3238	9
6.2800	4.0270	5.5316	9
2.4000	2.1690	2.2881	8
5	3.8210	4.4131	11
5.1600	3.4510	4.3358	11
3.5100	3.2680	3.2995	11
9.2400	5.6790	6.1530	9
10.6900	7.3630	15.8113	5
5.7400	3.8170	5.2593	9
8.5500	5.3370	7.8802	6
4.9700	2.2920	4.5785	9
7.1200	5.0970	7.4900	7
3.9700	2.9190	3.4812	10
2.7100	2.4330	2.6199	9
6.4000	4.1140	5.4785	8
4.2700	3.2640	4.0520	11
1.3300	1.1530	1.2833	11
4.7300	3.2680	3.9266	11
5.8800	3.9110	5.7942	6
5.5200	3.8240	4.8858	10
4.9600	3.7330	4.4952	9
2.9200	2.6000	2.6935	11
3.0500	2.3420	2.8285	11
5.7400	4.2750	5.8363	9
4.7900	3.4630	4.3153	9
5.4700	4.1200	5.2774	9
8.2300	5.3300	8.0948	7
6.0800	3.8150	5.0930	8
3.2200	2.9910	3.0997	9
3.4100	2.4790	3.1336	11
5.0500	4.2500	4.8887	10
7.7900	6.9710	7.5346	7
6.9700	7.5670	7.6217	6
1.9800	1.8500	1.9575	11
5.2800	4.1640	5.7882	9
4.7100	4.0110	4.0239	11
5.6300	3.9850	5.3234	10
4.8600	3.3450	4.0933	11
9.4600	5.4880	9.0587	5
3.3400	2.6530	3.0963	9
4.9100	3.9550	4.3153	10
6.7200	4.1380	4.6316	11
4.2300	3.4860	4.2002	9
2.2500	2.1430	2.2100	11
6.9100	2.4660	6.4441	7
5.6300	4.5570	5.5792	9
7.9200	5.1280	7.7991	7
6.1400	5.2260	6.3260	8
6.4800	3.6440	4.7490	8
2.3500	2.3140	2.3481	9
7.0600	4.2090	5.6775	8
6.7000	4.9340	7.5570	8
6.2200	5.3970	7.1126	8
5.5800	3.7450	4.7176	9
3.2500	2.5190	2.9825	11
5.4700	5.3160	7.9195	5
6.7700	4.3130	5.7242	7
5.0900	4.2190	6.1592	6
5.9200	4.4230	4.8271	9
1.5100	1.4600	1.4653	11
6.1000	4.6290	6.7673	9
10.7400	7.2930	8.2685	8
7.0600	4.7440	5.9583	8
4.4700	3.3870	4.2350	11
3.9700	3.2030	3.9171	9
5.2200	3.3470	4.1783	11
3.9300	4.1560	4.6105	8
0.9200	0.8780	0.9067	11
5.1000	3.2830	4.0154	11
3.8200	3.2340	3.4393	9
1.7600	1.6410	1.6732	11
8.2900	4.8280	7.5680	8
4.9700	3.6790	4.3399	11
5.6300	5.9290	6.2912	9
6.8000	6.2610	13.1528	5
1.7200	1.6400	1.6723	11
6.4600	4.5740	6.5885	9
1.7500	1.5650	1.6692	11
4.2600	3.2260	4.0307	10
3.9600	3.2330	3.6872	8
6.8500	4.9900	5.9596	8
6.1300	4.5010	5.9010	8
7.4100	7.1350	7.6070	6
7.6600	5.9180	7.4074	7
6.0100	4.1510	5.7628	9
8.9700	8.4180	8.7223	6
9.9100	6.3130	10.3596	6
7.0600	4.9090	7.6382	6
3.5400	3.2350	3.3905	11
6.7100	6.5050	8.2717	7
6.1300	5.0470	5.9284	9
8.0500	7.4320	7.7628	7
5.1100	3.4630	4.1985	10
4.6600	3.7600	4.3389	11
1.9000	1.7420	1.8123	11
5.0300	3.6550	4.3516	11
4.0700	3.0660	3.5771	10
4.9600	4.6640	4.7410	10
4.0300	2.9610	3.5178	11
7.7200	4.8080	5.8551	9
7.4100	4.0870	5.6196	8
6.0200	3.8520	5.0896	9
5.1800	3.7510	4.9546	9
4.9700	4.5140	4.5794	9
5.0900	3.6380	4.6109	11
1.6000	1.5690	1.5824	11
7.9600	7.1330	7.8703	6
7.9600	4.8210	7.2456	7
1.9200	1.7230	1.8472	9
2.4100	2.0440	2.2557	9
7.6800	5.5690	7.9216	7
6.7900	4.1970	4.9160	9
7.5900	5.8330	7.7095	6
5.3300	4.0450	4.5524	9
3.7700	3.0900	3.3458	9
5.4000	3.6660	4.7724	8
4.4100	3.5990	4.2120	8
6.6300	4.6140	6.9344	6
4.0300	3.3810	3.8960	11
8.2800	4.9260	7.7586	6
1.7200	1.6500	1.6959	11
4.9800	3.5600	4.5676	11
6.2000	3.9490	4.9984	8
7.5900	5.4260	7.8555	6
5.2800	4.4810	5.0926	10
5.0300	2.0770	4.6041	11
5.5900	3.9440	5.2321	9
1.0100	0.7470	0.9767	11
5.0900	3.0620	4.6582	11
2.1400	1.9380	2.1190	9
4.7400	3.5390	4.1484	9
5.3700	3.8340	4.3772	11
9.0700	5.1370	8.5542	7
3.5700	3.2590	3.4065	9
6.4400	5.1000	8.1861	6
1.6500	1.5450	1.5878	11
4.9800	3.9750	4.9356	9
4.6500	3.1380	3.8268	11
6.7700	3.8490	4.9301	9
8.9500	5.1780	8.6248	8
5.9000	4.2570	5.5871	9
5.9000	4.4800	5.2801	8
7.0400	4.7940	7.4695	6
6.1200	4.3420	5.1559	8
2.0500	1.8090	1.9557	11
6.9100	3.8480	4.9499	9
8.4500	5.5820	7.9522	7
7.5300	5.1430	6.2813	8
5.4200	6.4140	6.6536	8
2.0700	1.9610	2.0150	11
5.4700	1.8360	5.0271	9
1.8600	1.6750	1.7869	10
5.7700	4.8170	7.3372	6
6.8500	5.2880	6.3274	7
3.1100	2.4790	2.8198	11
8.5100	6.7300	7.3622	8
4.9600	3.3920	4.4152	11
4.2200	3.6160	3.9454	11
6.7900	4.7780	6.2546	8
5.9400	4.9160	6.1023	9
7.8500	6.0480	7.3564	7
2.3400	2.1250	2.2098	10
8.7800	5.3110	5.9626	9
5.3500	4.1300	5.4720	9
1.2900	1.2020	1.2478	10
5.5500	4.3830	6.1049	9
2.1700	1.8750	2.0381	11
6.0300	4.3780	6.0627	9
6.5900	5.3250	7.3582	6
6.6700	4.0680	5.5151	8
4.1700	3.9850	4.0173	11
6.0200	4.5670	6.6314	9
5.0100	4.0640	4.4017	11
5.9300	4.6290	5.5733	9
5.7300	4.6390	5.1271	8
1.2500	1.1780	1.2217	11
6.9600	4.6390	6.9337	5
6.4200	3.8840	5.1620	9
4.8300	3.5120	4.5263	9
3.6500	3.0020	3.5382	11
7.1600	4.2610	5.5946	9
4.9200	3.8130	4.1404	11
4.6700	3.2380	4.0017	11
6.9800	4.9560	7.6889	6
4.4500	2.3380	4.1154	11
6.2000	3.6550	4.6796	9
5.8000	5.7920	7.0457	8
6.9000	4.6570	6.9000	9
6.1000	4.1610	5.7390	8
3.0300	2.6520	2.7939	11
7.5500	4.7310	7.2799	6
6.7200	5.0750	6.7153	6
4.9800	3.6380	4.5293	10
6.9900	5.4280	6.6502	9
5.3300	4.6640	4.7747	10
3.8900	2.9810	3.5296	9
8.2400	4.6850	6.4375	8
4.6800	3.4500	4.5126	9
5.6300	5.1020	6.9309	8
7.1600	4.6160	4.8408	11
1.2900	1.2410	1.2533	11
6.0400	3.6730	5.4302	9
5.8100	3.8340	4.8758	9
7.1600	4.4050	5.5933	8
8.2000	8.4040	9.5794	6
5.0900	3.6780	4.7874	8
7.7900	7.3760	11.0324	6
6.0800	4.5170	6.6865	9
4.1700	3.6170	3.8030	10
5.0900	3.6920	4.5745	8
1.7300	1.5500	1.6651	11
8.3100	5.3160	7.9659	6
4.1300	3.5320	3.9439	7
2.0800	2.1260	2.3479	7
5.4900	4.1700	5.4131	9
4.6000	3.3250	4.0572	11
4.1700	3.2420	3.7717	10
3.6200	2.9050	3.2888	10
7.7900	5.7120	8.4335	6
5.7900	4.4500	6.0858	9
2.1900	1.9560	2.1420	9
7.8000	6.0100	6.4752	9
6.8600	5.2050	7.4218	6
11.0600	10.3020	15.9045	5
7.6400	7.5050	7.5584	6
5.2800	3.7980	4.9080	9
3.4600	3.0890	3.2666	9
5.6800	3.8890	4.8464	8
6.8400	4.6960	5.2863	8
6.7000	3.8940	5.1970	9
6.3100	5.0550	7.3219	6
10.1100	7.9750	19.1007	5
5.3700	4.0500	5.1734	9
9.4700	6.7120	8.5454	6
3.7000	2.8970	3.4083	10
1.1600	1.1050	1.1328	11
4.4700	3.8070	4.0633	11
5.5600	3.6980	4.7123	8
6.2200	4.2580	6.0062	10
6.5300	4.5580	6.1470	7
5.4500	5.7490	6.8304	8
5.7800	3.9190	5.2289	8
6.1600	4.6040	5.2921	8
3.9400	3.0980	3.5103	11
6.5600	8.6770	14.7648	4
5.8700	5.2080	7.1594	8
5.5400	4.1800	5.5807	8
6.7600	5.8570	6.1254	10
5.1100	3.4030	4.2488	10
8.5600	7.0980	9.8493	6
3.5700	2.9060	3.4509	11
3.0700	2.6020	2.8970	11
5.8500	3.7110	4.8560	9
6.4400	3.7720	4.8707	10
6.1200	3.6490	4.6793	9
5.3300	3.6620	4.7794	9
7.0700	4.9860	7.0397	7
8.3000	5.5240	9.5402	6
9.8500	5.7470	10.7803	7
5.4700	4.2920	6.0569	8
5.6000	3.1740	5.4253	8
6.8400	5.6480	6.8993	9
6.5200	3.8980	4.7984	9
8.7500	5.9780	8.6668	6
5.1000	3.6640	4.7446	10
8.5900	5.5120	8.3846	6
4.2100	3.5510	3.7792	9
5.8200	3.9420	5.3488	8
8.0400	5.2790	7.8256	7
5.0500	3.8460	4.1090	11
8.2600	6.0270	8.3115	6
5.8100	3.8740	4.9396	9
