fixedacidity	volatileacidity	citricacid	residualsugar	chlorides	freesulfurdioxide	totalsulfurdioxide	density	pH	sulphates	alcohol	quality	Color
7.1000	0.4700	0.2900	14.8000	0.0240	22	142	0.9952	3.1200	0.4800	12	84	White
7.3000	0.4100	0.2900	1.8000	0.0320	26	74	0.9889	2.9600	0.3500	13	84	White
7	0.2200	0.2600	9.2000	0.0270	37	122	0.9923	3.0600	0.3400	12.5000	84	White
7.3000	0.1900	0.2700	13.9000	0.0570	45	155	0.9981	2.9400	0.4100	8.8000	84	White
12.6000	0.3100	0.7200	2.2000	0.0720	6	29	0.9987	2.8800	0.8200	9.8000	83	Red
5	0.5500	0.1400	8.3000	0.0320	35	164	0.9918	3.5300	0.5100	12.5000	83	White
6.5000	0.3600	0.2800	3.2000	0.0370	29	119	0.9908	3.2500	0.6500	12.4000	83	White
8.1000	0.1700	0.4400	14.1000	0.0530	43	145	1.0006	3.2800	0.7500	8.8000	83	White
7.1000	0.2500	0.3900	2.1000	0.0360	30	124	0.9908	3.2800	0.4300	12.2000	83	White
8	0.4500	0.3600	8.8000	0.0260	50	151	0.9927	3.0700	0.2500	12.7000	83	White
7.3000	0.3900	0.3700	1.1000	0.0430	36	113	0.9910	3.3900	0.4800	12.7000	83	White
6.9000	0.2500	0.2700	9.0500	0.0390	37	128	0.9936	3.2700	0.3400	11.3000	83	White
6.4000	0.2200	0.3200	7.2000	0.0280	15	83	0.9930	3.1300	0.5500	10.9000	83	White
7	0.1700	0.3600	6.4000	0.0550	42	123	0.9932	3.1100	0.5000	11	83	White
5.6000	0.1200	0.3300	2.9000	0.0440	21	73	0.9890	3.1700	0.3200	12.9000	83	White
6.2000	0.2800	0.2800	4.3000	0.0260	22	105	0.9890	2.9800	0.6400	13.1000	83	White
6.6000	0.1500	0.3200	6	0.0330	59	128	0.9919	3.1900	0.7100	12.1000	83	White
6.5000	0.3000	0.2700	4	0.0380	37	97	0.9903	3.2000	0.6000	12.6000	83	White
5.8000	0.3200	0.2800	4.3000	0.0320	46	115	0.9895	3.1600	0.5700	13	83	White
7.1000	0.4500	0.2400	2.7000	0.0400	24	87	0.9886	2.9400	0.3800	13.4000	83	White
11.3000	0.6200	0.6700	5.2000	0.0860	6	19	0.9988	3.2200	0.6900	13.4000	82	Red
6.6000	0.3300	0.3100	1.3000	0.0200	29	89	0.9903	3.2600	0.4400	12.4000	82	White
7.5000	0.4200	0.3400	4.3000	0.0400	34	108	0.9916	3.1400	0.4500	12.8000	82	White
8.1000	0.2700	0.3500	1.7000	0.0300	38	103	0.9926	3.2200	0.6300	10.4000	82	White
8.2000	0.3700	0.3600	1	0.0340	17	93	0.9906	3.0400	0.3200	11.7000	82	White
7.3000	0.2300	0.3700	1.9000	0.0410	51	165	0.9908	3.2600	0.4000	12.2000	82	White
8	0.3400	0.4900	9	0.0330	39	180	0.9936	3.1300	0.3800	12.3000	82	White
6.5000	0.1800	0.3400	1.6000	0.0400	43	148	0.9912	3.3200	0.5900	11.5000	82	White
7.6000	0.2000	0.3000	14.2000	0.0560	53	212.5000	0.9990	3.1400	0.4600	8.9000	82	White
6.3000	0.4100	0.1800	3.5000	0.0270	23	109	0.9902	3.3400	0.5400	12.8000	82	White
7.3000	0.1700	0.2400	8.1000	0.1210	32	162	0.9951	3.1700	0.3800	10.4000	82	White
8	0.1300	0.2500	1.1000	0.0330	15	86	0.9904	2.9800	0.3900	11.2000	82	White
5.5000	0.1500	0.3200	14	0.0310	16	99	0.9944	3.2600	0.3800	11.5000	82	White
6.5000	0.4400	0.4700	5.4500	0.0140	44	137	0.9898	3.1300	0.3200	13	82	White
5.5000	0.3400	0.2600	2.2000	0.0210	31	119	0.9892	3.5500	0.4900	13	82	White
6.8000	0.2800	0.4300	7.6000	0.0300	30	110	0.9916	3.0800	0.5900	12.5000	82	White
6.3000	0.2900	0.2800	4.7000	0.0590	28	81	0.9904	3.2400	0.5600	12.7000	82	White
6.2000	0.3700	0.2400	6.1000	0.0320	19	86	0.9893	3.0400	0.2600	13.4000	82	White
5.4000	0.4500	0.2700	6.4000	0.0330	20	102	0.9894	3.2200	0.2700	13.4000	82	White
6.2000	0.3700	0.2400	6.1000	0.0320	19	86	0.9893	3.0400	0.2600	13.4000	82	White
5.8000	0.3200	0.2800	4.3000	0.0320	46	115	0.9895	3.1600	0.5700	13	82	White
6.5000	0.4300	0.3100	3.6000	0.0460	19	143	0.9902	3.1500	0.3400	12	82	White
7.3000	0.1900	0.2700	13.9000	0.0570	45	155	0.9981	2.9400	0.4100	8.8000	82	White
7.3000	0.1900	0.2700	13.9000	0.0570	45	155	0.9981	2.9400	0.4100	8.8000	82	White
5.2000	0.3000	0.3400	1.5000	0.0380	18	96	0.9894	3.5600	0.4800	13	82	White
8.6000	0.4200	0.3900	1.8000	0.0680	6	12	0.9952	3.3500	0.6900	11.7000	81	Red
6.8000	0.2600	0.4200	1.7000	0.0490	41	122	0.9930	3.4700	0.4800	10.5000	81	White
6.1000	0.3100	0.5800	5	0.0390	36	114	0.9909	3.3000	0.6000	12.3000	81	White
6.2000	0.2400	0.2900	13.3000	0.0390	49	130	0.9952	3.3300	0.4600	11	81	White
8.1000	0.1700	0.4400	14.1000	0.0530	43	145	1.0006	3.2800	0.7500	8.8000	81	White
6	0.1800	0.3100	1.4000	0.0360	14	75	0.9909	3.3400	0.5800	11.1000	81	White
7.3000	0.2100	0.2900	1.6000	0.0340	29	118	0.9917	3.3000	0.5000	11	81	White
7.9000	0.2800	0.4100	2	0.0440	50	152	0.9934	3.4500	0.4900	10.7000	81	White
5.3000	0.2400	0.3300	1.3000	0.0330	25	97	0.9906	3.5900	0.3800	11	81	White
6.6000	0.2100	0.3800	2.2000	0.0260	40	104	0.9914	3.2500	0.4000	11.1000	81	White
8.2000	0.3700	0.3600	1	0.0340	17	93	0.9906	3.0400	0.3200	11.7000	81	White
7.8000	0.2900	0.3600	7	0.0420	38	161	0.9941	3.2600	0.3700	11.2000	81	White
6.9000	0.3000	0.3300	4.1000	0.0350	26	155	0.9925	3.2500	0.7900	12.3000	81	White
7.1000	0.2800	0.4900	6.5000	0.0410	28	111	0.9926	3.4100	0.5800	12.2000	81	White
6.5000	0.1800	0.3400	1.6000	0.0400	43	148	0.9912	3.3200	0.5900	11.5000	81	White
7	0.3600	0.3200	10.0500	0.0450	37	131	0.9935	3.0900	0.3300	11.7000	81	White
7	0.1200	0.2900	10.3000	0.0390	41	98	0.9956	3.1900	0.3800	9.8000	81	White
6.8000	0.2200	0.3100	6.9000	0.0370	33	121	0.9918	3.0200	0.3900	11.9000	81	White
6.7000	0.3300	0.3600	6.6000	0.0420	34	116	0.9912	2.9700	0.3100	12.2000	81	White
7.1000	0.2600	0.3700	5.5000	0.0250	31	105	0.9908	3.0600	0.3300	12.6000	81	White
5.4000	0.4600	0.1500	2.1000	0.0260	29	130	0.9895	3.3900	0.7700	13.4000	81	White
7.3000	0.1900	0.2700	13.9000	0.0570	45	155	0.9981	2.9400	0.4100	8.8000	81	White
7.3000	0.1900	0.2700	13.9000	0.0570	45	155	0.9981	2.9400	0.4100	8.8000	81	White
7.9000	0.3500	0.4600	3.6000	0.0780	15	37	0.9973	3.3500	0.8600	12.8000	80	Red
5	0.4200	0.2400	2	0.0600	19	50	0.9917	3.7200	0.7400	14	80	Red
7.2000	0.3800	0.3100	2	0.0560	15	29	0.9947	3.2300	0.7600	11.3000	80	Red
7.4000	0.3600	0.3000	1.8000	0.0740	17	24	0.9942	3.2400	0.7000	11.4000	80	Red
6.7000	0.2600	0.3900	1.1000	0.0400	45	147	0.9935	3.3200	0.5800	9.6000	80	White
6.9000	0.1200	0.3600	2.2000	0.0370	18	111	0.9919	3.4100	0.8200	11.9000	80	White
7	0.2400	0.3200	1.3000	0.0370	39	123	0.9920	3.1700	0.4200	11.2000	80	White
7.8000	0.2100	0.3900	1.8000	0.0340	62	180	0.9910	3.0900	0.7500	12.6000	80	White
6.8000	0.3500	0.3200	2.4000	0.0480	35	103	0.9911	3.2800	0.4600	12	80	White
7.4000	0.4000	0.2900	5.4000	0.0440	31	122	0.9940	3.3000	0.5000	11.1000	80	White
8	0.4400	0.4900	9.1000	0.0310	46	151	0.9926	3.1600	0.2700	12.7000	80	White
5.8000	0.1700	0.3400	1.8000	0.0450	96	170	0.9903	3.3800	0.9000	11.8000	80	White
5.8000	0.3150	0.2700	1.5500	0.0260	15	70	0.9899	3.3700	0.4000	11.9000	80	White
5.2000	0.2850	0.2900	5.1500	0.0350	64	138	0.9895	3.1900	0.3400	12.4000	80	White
7	0.5300	0.4300	6.1000	0.0290	6	76	0.9912	3.0800	0.5000	12.5000	80	White
5.6000	0.1200	0.3300	2.9000	0.0440	21	73	0.9890	3.1700	0.3200	12.9000	80	White
6.1000	0.2800	0.2700	4.7000	0.0300	56	140	0.9904	3.1600	0.4200	12.5000	80	White
6.9000	0.2800	0.3000	8.3000	0.0260	37	113	0.9914	2.9900	0.3800	12.3000	80	White
5	0.2900	0.5400	5.7000	0.0350	54	155	0.9898	3.2700	0.3400	12.9000	80	White
6.5000	0.3300	0.2400	14.5000	0.0480	20	96	0.9946	3.0600	0.3000	11.5000	80	White
7.2000	0.3300	0.3300	1.7000	0.0610	3	13	0.9960	3.2300	1.1000	10	79	Red
6.7000	0.2300	0.3100	2.1000	0.0460	30	96	0.9926	3.3300	0.6400	10.7000	79	White
6.8000	0.5300	0.3500	3.8000	0.0340	26	109	0.9906	3.2600	0.5700	12.7000	79	White
6.4000	0.3200	0.3500	4.8000	0.0300	34	101	0.9912	3.3600	0.6000	12.5000	79	White
7.3000	0.2100	0.2900	1.6000	0.0340	29	118	0.9917	3.3000	0.5000	11	79	White
5.2000	0.2400	0.4500	3.8000	0.0270	21	128	0.9920	3.5500	0.4900	11.2000	79	White
6	0.2600	0.4200	5.2000	0.0270	70	178	0.9914	3.4000	0.4000	12.3000	79	White
6.1000	0.3100	0.3700	8.4000	0.0310	70	170	0.9934	3.4200	0.4000	11.7000	79	White
7.2000	0.2600	0.4400	7.1000	0.0270	25	126	0.9930	3.0200	0.3400	11.1000	79	White
7.7000	0.3500	0.4900	8.6500	0.0330	42	186	0.9931	3.1400	0.3800	12.4000	79	White
7.6000	0.2000	0.3000	14.2000	0.0560	53	212.5000	0.9990	3.1400	0.4600	8.9000	79	White
6.9000	0.1500	0.2800	4.4000	0.0290	14	107	0.9935	3.2400	0.4600	10.4000	79	White
6.5000	0.3500	0.3600	0.8000	0.0340	32	111	0.9894	3.1100	0.5000	12.1000	79	White
6.7000	0.2400	0.3000	3.8500	0.0420	105	179	0.9919	3.0400	0.5900	11.3000	79	White
6.7000	0.2800	0.3100	7.4000	0.0410	7	81	0.9925	3.0400	0.4700	11.4000	79	White
6.8000	0.2400	0.2900	2	0.0440	15	96	0.9923	3.2300	0.6400	10.4000	79	White
10.7000	0.3500	0.5300	2.6000	0.0700	5	16	0.9972	3.1500	0.6500	11	78	Red
5.5000	0.4900	0.0300	1.8000	0.0440	28	87	0.9908	3.5000	0.8200	14	78	Red
5.2000	0.4400	0.0400	1.4000	0.0360	43	119	0.9894	3.3600	0.3300	12.1000	78	White
7.3000	0.3000	0.3400	2.7000	0.0440	34	108	0.9910	3.3600	0.5300	12.8000	78	White
7.3000	0.2500	0.3600	2.1000	0.0340	30	177	0.9909	3.2500	0.4000	11.9000	78	White
6.9000	0.2100	0.2800	2.4000	0.0560	49	159	0.9944	3.0200	0.4700	8.8000	78	White
5.2000	0.2400	0.4500	3.8000	0.0270	21	128	0.9920	3.5500	0.4900	11.2000	78	White
7	0.1700	0.7400	12.8000	0.0450	24	126	0.9942	3.2600	0.3800	12.2000	78	White
6.2000	0.2200	0.4900	6	0.0290	31	128	0.9928	3.4100	0.3600	11.3000	78	White
6.4000	0.1500	0.3600	1.8000	0.0340	43	150	0.9922	3.4200	0.6900	11	78	White
6.4000	0.1500	0.3600	1.8000	0.0340	43	150	0.9922	3.4200	0.6900	11	78	White
7.6000	0.2000	0.3000	14.2000	0.0560	53	212.5000	0.9990	3.1400	0.4600	8.9000	78	White
5.8000	0.1700	0.3400	1.8000	0.0450	96	170	0.9903	3.3800	0.9000	11.8000	78	White
7	0.3600	0.3200	10.0500	0.0450	37	131	0.9935	3.0900	0.3300	11.7000	78	White
7	0.3600	0.3200	10.5000	0.0450	35	135	0.9935	3.0900	0.3300	11.6000	78	White
6.6000	0.2900	0.3100	3.9000	0.0270	39	96	0.9903	3.2400	0.6000	12.6000	78	White
5.8000	0.2100	0.3200	1.6000	0.0450	38	95	0.9895	3.2300	0.9400	12.4000	78	White
5.2000	0.1550	0.3300	1.6000	0.0280	13	59	0.9898	3.3000	0.8400	11.9000	78	White
7	0.1200	0.2900	10.3000	0.0390	41	98	0.9956	3.1900	0.3800	9.8000	78	White
6.5000	0.3000	0.2700	4	0.0380	37	97	0.9903	3.2000	0.6000	12.6000	78	White
7	0.2200	0.2600	9.2000	0.0270	37	122	0.9923	3.0600	0.3400	12.5000	78	White
7.3000	0.1900	0.2700	13.9000	0.0570	45	155	0.9981	2.9400	0.4100	8.8000	78	White
7.3000	0.1900	0.2700	13.9000	0.0570	45	155	0.9981	2.9400	0.4100	8.8000	78	White
4.4000	0.3200	0.3900	4.3000	0.0300	31	127	0.9890	3.4600	0.3600	12.8000	78	White
9.1000	0.4000	0.5000	1.8000	0.0710	7	16	0.9946	3.2100	0.6900	12.5000	77	Red
10	0.2600	0.5400	1.9000	0.0830	42	74	0.9945	2.9800	0.6300	11.8000	77	Red
7.9000	0.5400	0.3400	2.5000	0.0760	8	17	0.9923	3.2000	0.7200	13.1000	77	Red
6.2000	0.6600	0.4800	1.2000	0.0290	29	75	0.9892	3.3300	0.3900	12.8000	77	White
6.6000	0.1600	0.3200	1.4000	0.0350	49	186	0.9906	3.3500	0.6400	12.4000	77	White
6	0.2500	0.2800	2.2000	0.0260	54	126	0.9898	3.4300	0.6500	12.9000	77	White
5.9000	0.2700	0.2900	11.4000	0.0360	31	115	0.9949	3.3500	0.4800	10.5000	77	White
6.5000	0.1300	0.3700	1	0.0360	48	114	0.9911	3.4100	0.5100	11.5000	77	White
7.6000	0.2000	0.3000	14.2000	0.0560	53	212.5000	0.9990	3.1400	0.4600	8.9000	77	White
7.3000	0.1700	0.2400	8.1000	0.1210	32	162	0.9951	3.1700	0.3800	10.4000	77	White
5.6000	0.2100	0.4000	1.3000	0.0410	81	147	0.9901	3.2200	0.9500	11.6000	77	White
6.8000	0.2800	0.4300	7.6000	0.0300	30	110	0.9916	3.0800	0.5900	12.5000	77	White
6.9000	0.3600	0.3500	8.6000	0.0380	37	125	0.9916	3	0.3200	12.4000	77	White
5.3000	0.3000	0.1600	4.2000	0.0290	37	100	0.9905	3.3000	0.3600	11.8000	77	White
6.6000	0.2300	0.3000	4.6000	0.0600	29	154	0.9914	3.2300	0.4900	12.2000	77	White
6.1000	0.2800	0.2700	4.7000	0.0300	56	140	0.9904	3.1600	0.4200	12.5000	77	White
6.6000	0.1500	0.3200	6	0.0330	59	128	0.9919	3.1900	0.7100	12.1000	77	White
6.7000	0.2400	0.3000	3.8500	0.0420	105	179	0.9919	3.0400	0.5900	11.3000	77	White
5.4000	0.4600	0.1500	2.1000	0.0260	29	130	0.9895	3.3900	0.7700	13.4000	77	White
6.9000	0.2200	0.2800	7.8000	0.0500	43	116	0.9933	3.2200	0.6000	11.5000	77	White
6.6000	0.5000	0.2600	11.3000	0.0290	32	110	0.9930	3.2700	0.7800	12.9000	77	White
10.3000	0.3200	0.4500	6.4000	0.0730	5	13	0.9976	3.2300	0.8200	12.6000	76	Red
10.7000	0.3500	0.5300	2.6000	0.0700	5	16	0.9972	3.1500	0.6500	11	76	Red
7.8000	0.5700	0.0900	2.3000	0.0650	34	45	0.9942	3.4600	0.7400	12.7000	76	Red
6.2000	0.6600	0.4800	1.2000	0.0290	29	75	0.9892	3.3300	0.3900	12.8000	76	White
7.3000	0.2500	0.3600	2.1000	0.0340	30	177	0.9909	3.2500	0.4000	11.9000	76	White
7.5000	0.2800	0.3400	4.2000	0.0280	36	116	0.9910	2.9900	0.4100	12.3000	76	White
6.8000	0.2400	0.4000	1.8000	0.0470	34	105	0.9900	3.1300	0.4900	12.8000	76	White
7.1000	0.2600	0.3100	2.2000	0.0440	29	128	0.9937	3.3400	0.6400	10.9000	76	White
7.6000	0.2000	0.3000	14.2000	0.0560	53	212.5000	0.9990	3.1400	0.4600	8.9000	76	White
7.7000	0.4000	0.2700	4.5000	0.0340	27	95	0.9918	3.2100	0.5900	12.3000	76	White
6.4000	0.2200	0.3200	7.2000	0.0280	15	83	0.9930	3.1300	0.5500	10.9000	76	White
7.1000	0.4700	0.2900	14.8000	0.0240	22	142	0.9952	3.1200	0.4800	12	76	White
6.7000	0.3300	0.3400	7.5000	0.0360	39	124	0.9912	2.9900	0.3200	12.4000	76	White
6.5000	0.2600	0.3100	3.6000	0.0300	36	92	0.9903	3.2200	0.6200	12.6000	76	White
5.4000	0.5300	0.1600	2.7000	0.0360	34	128	0.9886	3.2000	0.5300	13.2000	76	White
7.3000	0.1900	0.2700	13.9000	0.0570	45	155	0.9981	2.9400	0.4100	8.8000	76	White
3.9000	0.2250	0.4000	4.2000	0.0300	29	118	0.9890	3.5700	0.3600	12.8000	76	White
7.8000	0.5800	0.0200	2	0.0730	9	18	0.9968	3.3600	0.5700	9.5000	75	Red
9.6000	0.3200	0.4700	1.4000	0.0560	9	24	0.9970	3.2200	0.8200	10.3000	75	Red
10.5000	0.4200	0.6600	2.9500	0.1160	12	29	0.9970	3.2400	0.7500	11.7000	75	Red
7.8000	0.6400	0.1000	6	0.1150	5	11	0.9984	3.3700	0.6900	10.1000	75	Red
4.9000	0.4200	0	2.1000	0.0480	16	42	0.9915	3.7100	0.7400	14	75	Red
10.2000	0.4400	0.5800	4.1000	0.0920	11	24	0.9974	3.2900	0.9900	12	75	Red
8.3000	0.2800	0.4800	2.1000	0.0930	6	12	0.9941	3.2600	0.6200	12.4000	75	Red
7	0.4000	0.3200	3.6000	0.0610	9	29	0.9942	3.2800	0.4900	11.3000	75	Red
7.6000	0.3100	0.3400	2.5000	0.0820	26	35	0.9936	3.2200	0.5900	12.5000	75	Red
11.6000	0.4100	0.5400	1.5000	0.0950	22	41	0.9973	3.0200	0.7600	9.9000	75	Red
5.1000	0.4200	0	1.8000	0.0440	18	88	0.9916	3.6800	0.7300	13.6000	75	Red
5.2000	0.4400	0.0400	1.4000	0.0360	43	119	0.9894	3.3600	0.3300	12.1000	75	White
6.8000	0.2100	0.2700	2.1000	0.0300	26	139	0.9900	3.1600	0.6100	12.6000	75	White
7.3000	0.2000	0.4400	1.4000	0.0450	21	98	0.9924	3.1500	0.4600	10	75	White
7	0.3000	0.3800	14.9000	0.0320	60	181	0.9983	3.1800	0.6100	9.3000	75	White
9.2000	0.2500	0.3400	1.2000	0.0260	31	93	0.9916	2.9300	0.3700	11.3000	75	White
6.4000	0.2400	0.3100	2.8000	0.0380	41	114	0.9916	3.3700	0.6600	11.7000	75	White
7.1000	0.2800	0.4400	1.8000	0.0320	32	107	0.9907	3.2500	0.4800	12.2000	75	White
6.9000	0.2200	0.3700	15	0.0530	59	178	0.9992	3.3700	0.8200	9.5000	75	White
7.3000	0.2500	0.3600	2.1000	0.0340	30	177	0.9909	3.2500	0.4000	11.9000	75	White
6.9000	0.1900	0.3500	1.7000	0.0360	33	101	0.9931	3.2100	0.5400	10.8000	75	White
7.8000	0.1800	0.4600	12.6000	0.0420	41	143	1	3.2400	0.7600	8.5000	75	White
7.7000	0.2400	0.2900	15.3000	0.0440	39	194	0.9982	3.0600	0.4700	9.6000	75	White
7.7000	0.2800	0.3300	6.7000	0.0370	32	155	0.9951	3.3900	0.6200	10.7000	75	White
6.3000	0.2300	0.2100	5.1000	0.0350	29	142	0.9942	3.3600	0.3300	10.1000	75	White
6.6000	0.2500	0.3900	1.4500	0.0400	40	89	0.9911	3.3500	0.4000	11.4000	75	White
5.6000	0.4900	0.1300	4.5000	0.0390	17	116	0.9907	3.4200	0.9000	13.7000	75	White
8.2000	0.2200	0.3600	6.8000	0.0340	12	90	0.9944	3.0100	0.3800	10.5000	75	White
7.6000	0.1400	0.7400	1.6000	0.0400	27	103	0.9916	3.0700	0.4000	10.8000	75	White
7.2000	0.2400	0.2900	2.2000	0.0370	37	102	0.9920	3.2700	0.6400	11	75	White
6.7000	0.4400	0.3100	1.9000	0.0300	41	104	0.9900	3.2900	0.6200	12.6000	75	White
7.2000	0.1900	0.3100	1.4000	0.0460	37	135	0.9939	3.3400	0.5700	10.2000	75	White
7.6000	0.2000	0.3000	14.2000	0.0560	53	212.5000	0.9990	3.1400	0.4600	8.9000	75	White
6.3000	0.2800	0.2400	8.4500	0.0310	32	172	0.9958	3.3900	0.5700	9.7000	75	White
7.3000	0.4000	0.2800	6.5000	0.0370	26	97	0.9915	3.1600	0.5800	12.6000	75	White
6.9000	0.1500	0.2800	4.4000	0.0290	14	107	0.9935	3.2400	0.4600	10.4000	75	White
6.8000	0.4600	0.2600	2.7000	0.0420	28	83	0.9911	3.3800	0.5100	12	75	White
7.8000	0.1700	0.2300	1.7000	0.0290	39	128	0.9927	3.3700	0.4100	10.7000	75	White
7.3000	0.2200	0.3100	2.3000	0.0180	45	80	0.9894	3.0600	0.3400	12.9000	75	White
6.9000	0.3100	0.3200	1.6000	0.0360	34	114	0.9907	3.1900	0.4500	11.4000	75	White
5.8000	0.3200	0.3100	2.7000	0.0490	25	153	0.9907	3.4400	0.7300	12.2000	75	White
6	0.3200	0.3000	1.9000	0.0330	41	142	0.9891	3.2900	0.4200	12.8000	75	White
6.8000	0.2500	0.2800	5	0.0350	42	126	0.9905	3.1200	0.3800	12.6000	75	White
6.5000	0.2200	0.2800	3.7000	0.0590	29	151	0.9918	3.2300	0.4100	12.1000	75	White
6	0.2800	0.2700	15.5000	0.0360	31	134	0.9941	3.1900	0.4400	13	75	White
6.9000	0.3300	0.3100	4.2000	0.0400	21	93	0.9896	3.1800	0.4800	13.4000	75	White
5.9000	0.2300	0.2400	3.8000	0.0380	61	152	0.9914	3.3100	0.5000	11.3000	75	White
7.4000	0.2500	0.2800	7.2500	0.0280	14	78	0.9924	2.9400	0.3700	11.5000	75	White
5.6000	0.2800	0.2700	3.9000	0.0430	52	158	0.9920	3.3500	0.4400	10.7000	75	White
5.8000	0.2000	0.2400	1.4000	0.0330	65	169	0.9904	3.5900	0.5600	12.3000	75	White
6.6000	0.3600	0.2800	6.1000	0.0290	12	93	0.9905	3.1900	0.2700	12.8000	75	White
5.7000	0.2650	0.2800	6.9000	0.0360	46	150	0.9930	3.3600	0.4400	10.8000	75	White
5.6000	0.1900	0.3100	2.7000	0.0270	11	100	0.9896	3.4600	0.4000	13.2000	75	White
6.4000	0.3500	0.2800	1.6000	0.0370	31	113	0.9878	3.1200	0.4000	14.2000	75	White
6.7000	0.1900	0.3200	3.7000	0.0410	26	76	0.9917	2.9000	0.5700	10.5000	75	White
5.8000	0.2400	0.2800	1.4000	0.0380	40	76	0.9871	3.1000	0.2900	13.9000	75	White
7.4000	0.1600	0.3000	13.7000	0.0560	33	168	0.9982	2.9000	0.4400	8.7000	75	White
6	0.2900	0.2700	2.3000	0.0440	20	117	0.9895	3.3100	0.4100	12.7000	75	White
5.2000	0.3100	0.2000	2.4000	0.0270	27	117	0.9889	3.5600	0.4500	13	75	White
6.7000	0.4100	0.2400	5.4000	0.0350	33	115	0.9901	3.1200	0.4400	12.8933	75	White
6	0.3800	0.2600	3.5000	0.0350	38	111	0.9887	3.1800	0.4700	13.6000	75	White
5.8000	0.2800	0.3400	2.2000	0.0370	24	125	0.9899	3.3600	0.3300	12.8000	75	White
8.1000	0.3800	0.2800	2.1000	0.0660	13	30	0.9968	3.2300	0.7300	9.7000	74	Red
8.7000	0.5200	0.0900	2.5000	0.0910	20	49	0.9976	3.3400	0.8600	10.6000	74	Red
9.8000	0.6600	0.3900	3.2000	0.0830	21	59	0.9989	3.3700	0.7100	11.5000	74	Red
9.8000	0.6600	0.3900	3.2000	0.0830	21	59	0.9989	3.3700	0.7100	11.5000	74	Red
11.9000	0.4300	0.6600	3.1000	0.1090	10	23	1	3.1500	0.8500	10.4000	74	Red
12.8000	0.6150	0.6600	5.8000	0.0830	7	42	1.0022	3.0700	0.7300	10	74	Red
5.1000	0.5850	0	1.7000	0.0440	14	86	0.9926	3.5600	0.9400	12.9000	74	Red
6.7000	0.2800	0.2800	2.4000	0.0120	36	100	0.9906	3.2600	0.3900	11.7000	74	Red
10.1000	0.3100	0.3500	1.6000	0.0750	9	28	0.9967	3.2400	0.8300	11.2000	74	Red
10.4000	0.3800	0.4600	2.1000	0.1040	6	10	0.9966	3.1200	0.6500	11.8000	74	Red
8.3000	0.3000	0.4900	3.8000	0.0900	11	24	0.9950	3.2700	0.6400	12.1000	74	Red
8.9000	0.1200	0.4500	1.8000	0.0750	10	21	0.9955	3.4100	0.7600	11.9000	74	Red
5.6000	0.6600	0	2.2000	0.0870	3	11	0.9938	3.7100	0.6300	12.8000	74	Red
