'wMotor_mean'	'wMotor_std'	'wMotor_fftPeakIdx'	'wMotor_skewness'	'wMotor_kurtosis'	'wMotor_peak2peak'	'wMotor_peak2rms'	'wMotor_rms'	'wMotor_mad'	'wMotor_csRange'	'wMotor_pLow'	'wMotor_pMid'	'wMotor_pHigh'	'wMotor_pKur'	'iMotor_mean'	'iMotor_std'	'iMotor_fftPeakIdx'	'iMotor_skewness'	'iMotor_kurtosis'	'iMotor_peak2peak'	'iMotor_peak2rms'	'iMotor_rms'	'iMotor_mad'	'iMotor_csRange'	'iMotor_pLow'	'iMotor_pMid'	'iMotor_pHigh'	'iMotor_pKur'	'qIn_mean'	'qIn_std'	'qIn_fftPeakIdx'	'qIn_skewness'	'qIn_kurtosis'	'qIn_peak2peak'	'qIn_peak2rms'	'qIn_rms'	'qIn_mad'	'qIn_csRange'	'qIn_pLow'	'qIn_pMid'	'qIn_pHigh'	'qIn_pKur'	'pIn_mean'	'pIn_std'	'pIn_fftPeakIdx'	'pIn_skewness'	'pIn_kurtosis'	'pIn_peak2peak'	'pIn_peak2rms'	'pIn_rms'	'pIn_mad'	'pIn_csRange'	'pIn_pLow'	'pIn_pMid'	'pIn_pHigh'	'pIn_pKur'	'qOut_mean'	'qOut_std'	'qOut_fftPeakIdx'	'qOut_skewness'	'qOut_kurtosis'	'qOut_peak2peak'	'qOut_peak2rms'	'qOut_rms'	'qOut_mad'	'qOut_csRange'	'qOut_pLow'	'qOut_pMid'	'qOut_pHigh'	'qOut_pKur'	'pOut_mean'	'pOut_std'	'pOut_fftPeakIdx'	'pOut_skewness'	'pOut_kurtosis'	'pOut_peak2peak'	'pOut_peak2rms'	'pOut_rms'	'pOut_mad'	'pOut_csRange'	'pOut_pLow'	'pOut_pMid'	'pOut_pHigh'	'pOut_pKur'	'faultCode'
876.0769	6.1532	762	-0.0481	2.7783	35.5102	1.0192	876.0985	4.9984	1.2256e+06	9.1173	655.0354	73.9017	0.0718	38.2286	0.2533	762	-0.1343	2.7094	1.4104	1.0158	38.2294	0.2062	5.3482e+04	0.0034	1.2003	0.0979	0.0718	35.5789	4.2141	742	1.4951	5.8112	22.9945	1.4372	35.8274	2.7953	4.9775e+04	69.2279	191.6975	38.9605	2.1587	-0.1483	0.0185	742	-0.8611	4.4581	0.1211	1.4961	0.1495	0.0137	207.4845	0.0013	0.0035	0.0010	1.0188	35.6031	2.7736	762	-0.7155	2.7615	14.1550	1.1538	35.7109	2.2731	4.9806e+04	0.6066	113.7613	17.1677	1.4676	7.2259	0.0237	762	-0.6178	2.6148	0.1193	1.0067	7.2259	0.0195	1.0109e+04	4.8567e-05	0.0069	0.0014	0.0763	000
876.1238	6.2049	762	-0.0868	2.7683	35.6127	1.0185	876.1457	4.9974	1.2257e+06	2.7039	638.7523	97.7970	0.0718	38.2311	0.2605	762	-0.1634	2.7165	1.4747	1.0167	38.2320	0.2142	5.3486e+04	0.0097	1.3470	0.0922	0.0718	35.4858	4.1929	742	1.4695	5.7221	23.5224	1.4314	35.7325	2.7896	4.9644e+04	74.9011	188.5251	32.9398	1.1489	-0.1479	0.0182	742	-0.7377	4.2605	0.1211	1.4774	0.1490	0.0136	206.8797	0.0015	0.0024	0.0012	0.2289	35.5100	2.7663	824	-0.7198	2.6696	14.0702	1.1448	35.6175	2.2811	4.9675e+04	0.9348	110.1060	12.5335	1.1489	7.2263	0.0235	762	-0.6112	2.7232	0.1263	1.0073	7.2263	0.0191	1.0110e+04	6.2023e-05	0.0079	0.0015	0.0763	000
876.2015	6.4133	762	-0.1348	2.7727	37.0981	1.0194	876.2250	5.2346	1.2258e+06	7.6343	743.3542	92.1888	0.0718	38.2286	0.2478	762	-0.1216	2.6982	1.3914	1.0156	38.2294	0.2035	5.3482e+04	0.0032	1.1383	0.0951	0.0718	35.5006	4.1862	742	1.4360	5.7200	23.6783	1.4300	35.7464	2.7882	4.9667e+04	76.4053	190.9832	38.5076	3.0070	-0.1488	0.0182	742	-0.8309	4.5918	0.1313	1.5000	0.1499	0.0134	208.1912	0.0013	0.0026	0.0010	2.2350	35.5248	2.7451	762	-0.7357	2.7765	13.3798	1.1478	35.6306	2.2555	4.9698e+04	0.3068	116.1027	17.1397	2.2395	7.2254	0.0235	824	-0.6431	2.6652	0.1266	1.0067	7.2254	0.0193	1.0108e+04	8.1260e-05	0.0076	0.0010	0.0763	000
876.1230	6.0332	762	-0.0812	2.7566	34.5171	1.0179	876.1438	4.9032	1.2257e+06	2.7801	591.5286	95.2109	0.0718	38.2306	0.2537	762	-0.2049	2.7142	1.4401	1.0146	38.2315	0.2079	5.3485e+04	0.0076	1.2126	0.0800	0.0718	35.5252	4.2382	742	1.4758	5.7471	23.5305	1.4345	35.7769	2.8319	4.9700e+04	68.1267	197.5181	36.7192	0.6822	-0.1487	0.0185	742	-0.8579	4.3720	0.1238	1.5451	0.1498	0.0138	207.9646	0.0012	0.0024	0.0012	2.2260	35.5494	2.7336	762	-0.7129	2.7682	14.0023	1.1474	35.6543	2.2478	4.9731e+04	0.4789	106.4663	17.6115	2.3113	7.2255	0.0233	762	-0.6533	2.7836	0.1181	1.0069	7.2256	0.0190	1.0108e+04	2.7252e-05	0.0081	0.0015	0.0763	000
876.1878	6.2050	762	-0.1980	2.7783	36.9418	1.0174	876.2098	5.0321	1.2258e+06	6.1451	645.4189	79.6462	2.8409	38.2315	0.2538	762	-0.0937	2.5893	1.4238	1.0169	38.2323	0.2083	5.3486e+04	0.0041	1.0980	0.0966	0.4533	35.5004	4.1601	742	1.4456	5.7106	23.3991	1.4111	35.7431	2.7942	4.9663e+04	78.6562	170.0083	34.6789	2.9890	-0.1484	0.0182	742	-0.7026	4.2019	0.1249	1.4903	0.1495	0.0136	207.6298	0.0015	0.0021	0.0012	0.3276	35.5246	2.7458	824	-0.7329	2.7519	13.7035	1.1380	35.6304	2.2500	4.9694e+04	0.2920	105.1635	17.3811	2.4549	7.2258	0.0231	762	-0.6188	2.7346	0.1237	1.0068	7.2258	0.0190	1.0109e+04	4.2087e-05	0.0073	0.0015	0.0763	000
876.2149	6.2081	762	-0.0555	2.6653	35.4141	1.0196	876.2369	5.0436	1.2258e+06	3.8164	563.9581	95.9031	0.4533	38.2306	0.2517	762	-0.1223	2.6311	1.4475	1.0167	38.2314	0.2068	5.3485e+04	0.0067	1.1803	0.0972	0.0718	35.5208	4.2570	742	1.5068	5.9146	24.2062	1.4578	35.7748	2.8248	4.9695e+04	71.8376	186.4467	38.5787	3.0339	-0.1487	0.0186	742	-0.9237	4.6549	0.1220	1.5102	0.1498	0.0137	208.0014	0.0011	0.0031	0.0012	2.9890	35.5450	2.7682	762	-0.7064	2.7332	14.4111	1.1567	35.6526	2.2730	4.9726e+04	0.3821	112.2076	14.7313	2.8409	7.2255	0.0233	762	-0.6413	2.7121	0.1193	1.0064	7.2256	0.0190	1.0108e+04	3.1729e-05	0.0072	0.0015	0.0763	000
876.1863	6.1536	762	-0.0940	2.7226	36.9351	1.0199	876.2079	4.9963	1.2258e+06	5.4978	625.5336	96.8206	0.0718	38.2284	0.2518	762	-0.1882	2.6620	1.4715	1.0157	38.2292	0.2077	5.3482e+04	0.0079	1.1512	0.0873	0.0718	35.5294	4.1552	742	1.4157	5.6795	23.0780	1.4246	35.7714	2.7814	4.9706e+04	79.0566	167.7270	39.9952	2.7781	-0.1485	0.0178	742	-0.7398	4.0560	0.1141	1.4280	0.1495	0.0135	207.6828	0.0014	0.0025	0.0010	2.8454	35.5536	2.7399	824	-0.6740	2.6669	13.8449	1.1624	35.6590	2.2655	4.9737e+04	0.4731	107.4092	18.9415	0.4578	7.2257	0.0235	762	-0.6119	2.7093	0.1298	1.0073	7.2258	0.0193	1.0109e+04	4.2368e-05	0.0078	0.0012	0.0763	000
876.1159	6.1660	762	-0.1688	2.7116	36.9274	1.0180	876.1376	5.0401	1.2257e+06	6.9716	601.7636	86.9663	0.0718	38.2312	0.2479	762	-0.1217	2.6139	1.3994	1.0166	38.2320	0.2041	5.3486e+04	0.0082	1.1561	0.0755	0.0718	35.5204	4.2066	742	1.4086	5.6081	22.9228	1.4186	35.7684	2.8273	4.9693e+04	73.2367	175.7630	37.5657	1.0457	-0.1484	0.0187	742	-0.9834	5.0229	0.1297	1.5548	0.1495	0.0135	207.5728	0.0011	0.0033	0.0011	1.7683	35.5446	2.7433	762	-0.7336	2.8025	14.2139	1.1501	35.6502	2.2446	4.9725e+04	0.4635	107.4144	16.9074	2.1632	7.2258	0.0232	824	-0.5687	2.6247	0.1214	1.0075	7.2258	0.0191	1.0109e+04	4.8770e-05	0.0074	0.0016	0.0763	000
876.2052	6.0273	762	-0.0800	2.6602	35.3103	1.0192	876.2260	4.9283	1.2258e+06	6.3645	606.5990	75.2844	0.0718	38.2295	0.2521	762	-0.1617	2.7909	1.4790	1.0159	38.2303	0.2061	5.3483e+04	0.0052	1.1369	0.0958	0.0718	35.4981	4.2087	742	1.4688	5.8499	23.7564	1.4426	35.7466	2.8035	4.9662e+04	75.8171	177.6895	33.7041	0.9425	-0.1485	0.0183	742	-0.8514	4.3746	0.1117	1.4377	0.1496	0.0136	207.6968	0.0013	0.0030	0.0012	2.1587	35.5223	2.7610	762	-0.6726	2.6217	13.6920	1.1535	35.6294	2.2770	4.9693e+04	0.5831	101.7457	18.1248	0.1795	7.2257	0.0232	762	-0.6466	2.7674	0.1235	1.0069	7.2257	0.0189	1.0109e+04	3.9405e-05	0.0074	0.0014	0.0763	000
876.1526	6.1516	762	-0.1317	2.8917	37.4720	1.0184	876.1741	4.9639	1.2257e+06	4.1358	590.6869	95.8974	0.0718	38.2294	0.2569	762	-0.1746	2.7471	1.5797	1.0180	38.2303	0.2112	5.3483e+04	0.0061	1.1671	0.0881	0.0718	35.5264	4.1712	742	1.4001	5.6506	23.2651	1.4241	35.7702	2.7839	4.9701e+04	69.4067	174.4219	35.0801	1.1444	-0.1487	0.0185	742	-0.8067	4.1900	0.1185	1.4794	0.1498	0.0138	208.0094	0.0013	0.0030	0.0012	2.2395	35.5505	2.7878	762	-0.7301	2.7315	13.8427	1.1422	35.6596	2.2873	4.9732e+04	0.3171	115.2119	16.5474	0.0673	7.2255	0.0235	762	-0.5682	2.5808	0.1231	1.0071	7.2255	0.0193	1.0108e+04	6.0984e-05	0.0069	0.0015	0.0763	000
876.1486	6.3095	762	-0.1414	2.8070	41.4058	1.0220	876.1713	5.1480	1.2257e+06	5.0679	614.0449	87.2365	0.0718	38.2258	0.2500	762	-0.1777	2.7600	1.5519	1.0180	38.2266	0.2043	5.3478e+04	0.0104	1.0679	0.0901	0.0718	35.5097	4.1954	742	1.4192	5.6577	23.6216	1.4353	35.7565	2.8278	4.9678e+04	74.3793	172.2524	37.7157	1.3374	-0.1484	0.0184	742	-0.9529	4.6866	0.1158	1.4667	0.1495	0.0134	207.6198	0.0015	0.0031	0.0010	1.1175	35.5339	2.7546	762	-0.7517	2.7657	13.4870	1.1371	35.6404	2.2470	4.9709e+04	0.3837	108.9743	17.4490	2.2440	7.2258	0.0236	762	-0.6472	2.7037	0.1221	1.0069	7.2258	0.0193	1.0109e+04	3.4910e-05	0.0081	0.0013	0.0763	000
876.0350	6.1019	762	-0.1537	2.8235	40.1748	1.0212	876.0562	4.9417	1.2256e+06	8.8734	542.0971	89.7931	0.0718	38.2254	0.2531	762	-0.1065	2.6619	1.4642	1.0160	38.2262	0.2075	5.3478e+04	0.0109	1.1885	0.0939	0.0718	35.5084	4.2077	742	1.4185	5.6296	24.3414	1.4350	35.7567	2.8172	4.9678e+04	74.8331	177.2616	40.0044	2.2530	-0.1486	0.0181	742	-0.9500	4.5660	0.1213	1.5008	0.1497	0.0134	207.8533	0.0013	0.0030	0.0012	1.9029	35.5326	2.7159	824	-0.7134	2.7594	14.6967	1.1710	35.6362	2.2124	4.9709e+04	0.4814	104.3275	17.4278	1.3105	7.2256	0.0234	762	-0.6619	2.7582	0.1208	1.0064	7.2256	0.0190	1.0109e+04	3.2382e-05	0.0075	0.0015	0.0763	000
876.0216	6.2008	762	-0.0569	2.7114	37.3337	1.0184	876.0436	5.0265	1.2256e+06	9.1715	629.3705	93.9963	0.0718	38.2252	0.2525	762	-0.1670	2.7753	1.6187	1.0158	38.2260	0.2067	5.3477e+04	0.0059	1.1541	0.0888	0.0718	35.4725	4.1710	742	1.5253	5.9758	23.6573	1.4270	35.7167	2.7752	4.9627e+04	71.6449	162.6150	41.0150	2.2754	-0.1486	0.0184	742	-0.7880	4.1992	0.1143	1.4339	0.1497	0.0137	207.8502	0.0013	0.0029	0.0010	2.7556	35.4967	2.7275	762	-0.6778	2.6355	13.6117	1.1731	35.6013	2.2462	4.9658e+04	0.6159	110.8497	15.8788	0.6687	7.2256	0.0230	824	-0.6216	2.7209	0.1307	1.0080	7.2256	0.0187	1.0109e+04	4.4429e-05	0.0071	0.0014	0.0763	000
876.0163	6.1736	762	-0.1550	2.8965	42.0611	1.0183	876.0380	4.9949	1.2256e+06	4.5768	603.4932	88.5055	0.0718	38.2318	0.2529	762	-0.2080	2.7874	1.5547	1.0154	38.2327	0.2075	5.3487e+04	0.0044	1.1862	0.1030	0.0718	35.4683	4.2095	742	1.4784	5.8126	24.2833	1.4468	35.7170	2.8155	4.9620e+04	70.4940	190.0661	36.5569	2.4504	-0.1489	0.0187	742	-0.6692	3.8580	0.1199	1.4662	0.1501	0.0141	208.3611	0.0015	0.0034	0.0011	0.9066	35.4925	2.7792	762	-0.7387	2.7441	13.9314	1.1522	35.6011	2.2870	4.9652e+04	0.7164	126.2432	18.0641	0.6328	7.2252	0.0232	762	-0.5610	2.5964	0.1221	1.0081	7.2253	0.0190	1.0108e+04	6.5364e-05	0.0077	0.0014	0.0763	000
876.2261	6.1849	762	-0.1889	2.8404	40.3617	1.0183	876.2479	5.0222	1.2259e+06	3.2541	626.7330	102.5084	0.0718	38.2319	0.2599	762	-0.1095	2.6487	1.5448	1.0171	38.2328	0.2138	5.3487e+04	0.0072	1.2879	0.1138	0.0718	35.4666	4.1834	742	1.4801	5.8043	23.6900	1.4281	35.7123	2.8045	4.9618e+04	72.5272	183.2409	36.8440	0.6014	-0.1490	0.0184	742	-0.8340	4.4163	0.1297	1.5447	0.1501	0.0138	208.4271	0.0015	0.0023	0.0012	1.6561	35.4908	2.7819	824	-0.7108	2.6663	14.3863	1.1435	35.5996	2.2915	4.9649e+04	0.4184	118.3762	14.2140	0.7540	7.2252	0.0236	762	-0.6504	2.7154	0.1234	1.0070	7.2252	0.0193	1.0108e+04	7.1009e-05	0.0089	0.0015	0.0763	000
876.2277	6.4095	762	-0.0659	2.7280	39.8203	1.0200	876.2511	5.2223	1.2258e+06	5.9370	702.1323	113.2084	0.0718	38.2288	0.2549	762	-0.0996	2.5800	1.4473	1.0163	38.2296	0.2105	5.3482e+04	0.0099	1.2487	0.0726	0.0718	35.5329	4.1500	742	1.4251	5.6990	22.5771	1.4178	35.7743	2.7748	4.9711e+04	73.7635	182.7388	43.9678	1.7189	-0.1490	0.0185	742	-0.8663	4.5275	0.1206	1.5018	0.1501	0.0137	208.4519	0.0013	0.0026	0.0012	0.9649	35.5571	2.7514	762	-0.7203	2.7841	14.7603	1.1601	35.6634	2.2518	4.9743e+04	0.2259	106.4790	22.1385	1.7189	7.2252	0.0236	824	-0.6253	2.6391	0.1265	1.0067	7.2252	0.0194	1.0108e+04	3.1866e-05	0.0083	0.0012	0.0763	000
876.1293	6.2470	762	-0.0606	2.6073	37.0577	1.0190	876.1516	5.1229	1.2257e+06	8.1655	672.5746	72.4772	0.0718	38.2324	0.2569	762	-0.1843	2.6730	1.5984	1.0176	38.2332	0.2121	5.3487e+04	0.0182	1.2291	0.0842	0.0718	35.5335	4.2541	742	1.4547	5.8149	24.2609	1.4366	35.7870	2.8408	4.9711e+04	73.4463	190.4853	38.8922	0.9604	-0.1483	0.0187	742	-0.8253	4.2796	0.1190	1.4207	0.1495	0.0138	207.5159	0.0013	0.0027	0.0011	1.7144	35.5576	2.7512	824	-0.6543	2.6934	14.7057	1.1852	35.6638	2.2552	4.9742e+04	0.4987	101.2650	15.6634	2.3023	7.2258	0.0233	762	-0.6151	2.7594	0.1332	1.0076	7.2259	0.0190	1.0109e+04	1.8825e-05	0.0073	0.0018	0.0763	000
876.2428	6.3128	762	-0.1647	2.7085	41.2330	1.0209	876.2655	5.1830	1.2259e+06	15.9577	658.0466	84.0394	1.2791	38.2306	0.2543	762	-0.1672	2.6318	1.5280	1.0173	38.2315	0.2100	5.3485e+04	0.0035	1.1219	0.0881	0.0718	35.5023	4.2244	742	1.4470	5.7218	23.5449	1.4328	35.7526	2.8352	4.9667e+04	69.7567	192.0298	37.9566	1.0457	-0.1483	0.0182	742	-0.7590	4.4481	0.1363	1.4854	0.1494	0.0135	207.5199	0.0013	0.0025	0.0014	2.3023	35.5265	2.7870	824	-0.7842	2.9226	14.4283	1.1460	35.6356	2.2606	4.9698e+04	0.5794	114.3495	14.4213	2.4504	7.2258	0.0234	824	-0.5454	2.6417	0.1312	1.0087	7.2259	0.0191	1.0109e+04	4.4656e-05	0.0069	0.0013	0.0763	000
